city,year,income,expend,gdp,gap,gap_to_gdp,income_growth,expend_growth
上海,2006,1576.07,1795.57,10825.4,219.5,0.020276387015722284,,
上海,2007,2074.48,2181.68,13179.8,107.19999999999982,0.00813365908435635,0.31623595398681537,0.21503478004199228
上海,2008,2358.75,2593.92,14877.1,235.17000000000007,0.015807516249806756,0.13703193089352506,0.1889553005023652
上海,2009,2540.3,2989.65,16181.4,449.3499999999999,0.027769537864461662,0.07696873343932165,0.15256060325684673
上海,2010,2873.58,3302.89,18319.6,429.30999999999995,0.023434463634577175,0.131197102704405,0.10477480641546655
上海,2011,3429.83,3914.88,20406.1,485.0500000000002,0.023769853132151672,0.193573869528602,0.18528924669002
上海,2012,3743.71,4184.02,21774.9,440.3100000000004,0.02022098838571017,0.09151473979759928,0.06874795651463139
上海,2013,4109.51,4528.61,23809.4,419.09999999999945,0.01760229153191594,0.09771055984571464,0.08235859293215597
上海,2014,4585.55,4923.44,25964.5,337.8899999999994,0.013013537714956938,0.11583862796294442,0.08718569274015642
上海,2015,5519.5,6191.56,27821.6,672.0600000000004,0.02415605141329041,0.20367240570923872,0.2575678793688967
上海,2016,6406.13,6918.94,30963.9,512.8099999999995,0.01656154424991682,0.1606359271673159,0.11747927824328586
上海,2017,6642.26,7547.62,34378.3,905.3599999999997,0.026335217273687168,0.0368600075240435,0.09086362939987924
上海,2018,7108.15,8351.54,37769.1,1243.3900000000012,0.03292082681345336,0.0701402835781797,0.10651304649677651
上海,2019,7165.1,8179.28,40241.2,1014.1799999999994,0.02520252875162767,0.008011929967713272,-0.020626136018027985
上海,2020,7046.3,8102.11,41603.9,1055.8099999999995,0.025377668920461772,-0.01658036873176927,-0.00943481577840588
上海,2021,7771.8,8430.86,47059.4,659.0600000000004,0.014004853440545362,0.10296183812781168,0.04057584999463115
上海,2022,7608.0,9393.0,48594.5,1785.0,0.03673255203778206,-0.021076198564039195,0.11412121657814267
上海,2023,8312.5,9638.51,51404.5,1326.0100000000002,0.02579560155239328,0.09259989484752884,0.026137549238794966
上海,2024,8374.17,9874.84,53759.5,1500.67,0.027914508133446182,0.0074189473684209695,0.024519349982518035
上海,2025,,,,,,0.0,0.0
乌鲁木齐,2006,57.04,49.53,654.3,-7.509999999999998,-0.01147791532935962,,
乌鲁木齐,2007,73.43,68.32,820.28,-5.110000000000014,-0.006229580143365697,0.28734221598877996,0.37936604078336345
乌鲁木齐,2008,100.98,99.35,1020.35,-1.6300000000000097,-0.001597491056990258,0.37518725316628077,0.4541861826697893
乌鲁木齐,2009,113.54,133.88,1095.0,20.33999999999999,0.018575342465753413,0.12438106555753614,0.3475591343734272
乌鲁木齐,2010,147.99,159.61,1338.5,11.620000000000005,0.008681359731042214,0.3034172978685925,0.19218703316402763
乌鲁木齐,2011,229.59,238.49,1690.03,8.900000000000006,0.005266178706886863,0.5513886073383336,0.4942046237704403
乌鲁木齐,2012,252.01,295.6,2004.1,43.59000000000003,0.021750411656105,0.09765233677424967,0.23946496708457388
乌鲁木齐,2013,301.9,353.2,2202.85,51.30000000000001,0.02328801325555531,0.19796833458989727,0.19485791610284164
乌鲁木齐,2014,340.62,404.81,2461.47,64.19,0.02607791279194953,0.128254388870487,0.14612117780294454
乌鲁木齐,2015,368.67,446.66,2631.64,77.99000000000001,0.029635512456111023,0.08234983265809404,0.103381833452731
乌鲁木齐,2016,369.67,417.56,2458.98,47.889999999999986,0.019475554904879254,0.00271245287113131,-0.06515022612277799
