city,year,income,expend,gdp
上海,2006,1576.07,1795.57,10825.4
上海,2007,2074.48,2181.68,13179.8
上海,2008,2358.75,2593.92,14877.1
上海,2009,2540.3,2989.65,16181.4
上海,2010,2873.58,3302.89,18319.6
上海,2011,3429.83,3914.88,20406.1
上海,2012,3743.71,4184.02,21774.9
上海,2013,4109.51,4528.61,23809.4
上海,2014,4585.55,4923.44,25964.5
上海,2015,5519.5,6191.56,27821.6
上海,2016,6406.13,6918.94,30963.9
上海,2017,6642.26,7547.62,34378.3
上海,2018,7108.15,8351.54,37769.1
上海,2019,7165.1,8179.28,40241.2
上海,2020,7046.3,8102.11,41603.9
上海,2021,7771.8,8430.86,47059.4
上海,2022,7608.0,9393.0,48594.5
上海,2023,8312.5,9638.51,51404.5
上海,2024,8374.17,9874.84,53759.5
上海,2025,,,
乌鲁木齐,2006,57.04,49.53,654.3
乌鲁木齐,2007,73.43,68.32,820.28
乌鲁木齐,2008,100.98,99.35,1020.35
乌鲁木齐,2009,113.54,133.88,1095.0
乌鲁木齐,2010,147.99,159.61,1338.5
乌鲁木齐,2011,229.59,238.49,1690.03
乌鲁木齐,2012,252.01,295.6,2004.1
乌鲁木齐,2013,301.9,353.2,2202.85
乌鲁木齐,2014,340.62,404.81,2461.47
乌鲁木齐,2015,368.67,446.66,2631.64
乌鲁木齐,2016,369.67,417.56,2458.98
乌鲁木齐,2017,400.78,458.58,2743.82
乌鲁木齐,2018,458.28,659.79,3099.77
乌鲁木齐,2019,472.46,620.28,3413.0
乌鲁木齐,2020,392.64,536.87,3337.0
乌鲁木齐,2021,377.93,419.59,3691.57
乌鲁木齐,2022,314.82,455.77,3893.22
乌鲁木齐,2023,369.79,504.05,4168.0
乌鲁木齐,2024,371.3,465.52,4502.16
乌鲁木齐,2025,,,
兰州,2006,33.14,63.13,638.47
兰州,2007,46.63,83.3,732.76
兰州,2008,50.86,99.66,846.28
兰州,2009,57.04,119.83,926.0
兰州,2010,72.76,146.93,1100.4
兰州,2011,86.49,175.48,1360.03
兰州,2012,103.73,202.6,1563.8
兰州,2013,124.5,242.34,1776.28
兰州,2014,152.33,280.1,2000.94
兰州,2015,185.19,344.0,2095.99
兰州,2016,215.48,424.16,2264.23
兰州,2017,234.2,429.36,2523.54
兰州,2018,253.32,465.64,2732.94
兰州,2019,233.23,456.66,2837.0
兰州,2020,247.13,486.24,2887.0
兰州,2021,276.73,484.59,3231.29
兰州,2022,220.98,498.8,3343.5
兰州,2023,255.33,502.92,3487.0
兰州,2024,251.91,547.64,3742.25
兰州,2025,,,
北京,2006,1117.15,1296.84,8618.9
北京,2007,1492.64,1649.5,10730.4
北京,2008,1837.32,1959.29,12167.6
北京,2009,2026.81,2319.37,13335.7
北京,2010,2353.93,2717.32,15420.2
北京,2011,3006.28,3245.23,17653.3
北京,2012,3314.93,3685.31,19568.3
北京,2013,3661.11,4173.66,21746.0
北京,2014,4027.16,4524.67,23577.5
北京,2015,4723.86,5737.7,26034.1
北京,2016,5081.26,6406.77,28438.7
北京,2017,5430.79,6824.53,31325.9
北京,2018,5785.92,7471.43,35161.4
北京,2019,5817.1,7408.19,37767.0
北京,2020,5483.89,7116.18,38503.6
北京,2021,5932.31,7205.12,44350.7
北京,2022,5714.36,7469.15,45222.4
北京,2023,6181.1,7971.25,47353.7
北京,2024,6372.68,8396.49,49670.2
北京,2025,,,
南京,2006,246.44,262.46,2773.78
南京,2007,330.19,342.94,3283.73
南京,2008,386.56,404.67,3775.0
南京,2009,434.51,461.27,4230.0
南京,2010,518.8,542.18,5130.7
南京,2011,635.0,666.21,6145.52
南京,2012,733.02,769.66,7201.6
南京,2013,831.31,850.91,8011.78
南京,2014,903.49,921.2,8820.75
南京,2015,1020.03,1045.57,9720.77
南京,2016,1142.6,1173.84,10503.02
南京,2017,1271.91,1354.09,11715.1
南京,2018,1470.02,1532.72,12820.4
南京,2019,1580.03,1658.07,14031.0
南京,2020,1637.7,1754.62,14818.0
南京,2021,1729.52,1817.73,16356.0
南京,2022,1558.21,1828.69,16907.85
南京,2023,1619.98,1838.7,17421.0
南京,2024,1596.02,1705.26,18500.81
南京,2025,,,
南宁,2006,56.62,93.08,870.15
南宁,2007,70.15,118.0,1069.01
南宁,2008,191.17,166.08,1316.21
南宁,2009,120.46,203.55,1525.0
南宁,2010,156.1,261.28,1800.3
南宁,2011,186.29,302.31,2211.4
南宁,2012,229.72,376.51,2503.2
南宁,2013,256.25,418.4,2803.54
南宁,2014,274.85,465.78,3148.3
南宁,2015,297.05,526.72,3410.09
南宁,2016,312.79,586.98,3703.33
南宁,2017,332.15,646.37,4118.83
南宁,2018,358.96,697.99,4026.91
南宁,2019,370.93,789.2,4507.0
南宁,2020,372.25,819.86,4726.0
南宁,2021,392.0,778.0,5120.94
南宁,2022,392.68,838.93,5218.35
南宁,2023,400.88,816.48,5469.0
南宁,2024,381.16,796.99,5995.36
南宁,2025,,,
南昌,2006,68.11,93.37,1183.9
南昌,2007,87.22,116.86,1389.89
南昌,2008,102.15,148.17,1660.08
南昌,2009,115.88,181.75,1838.0
南昌,2010,146.47,232.03,2200.1
南昌,2011,187.03,299.37,2688.87
南昌,2012,240.02,345.51,3000.5
南昌,2013,291.91,419.37,3336.03
南昌,2014,342.21,473.16,3667.96
南昌,2015,389.34,543.18,4000.01
南昌,2016,402.18,583.26,4354.99
南昌,2017,417.08,653.12,5003.19
南昌,2018,461.75,752.41,5274.67
南昌,2019,477.0,834.11,5596.0
南昌,2020,483.86,838.17,5746.0
南昌,2021,484.83,870.01,6650.53
南昌,2022,457.68,939.04,7203.5
南昌,2023,500.18,925.55,7213.0
南昌,2024,526.21,940.07,7800.37
南昌,2025,,,
厦门,2006,136.17,159.13,1168.02
厦门,2007,186.53,198.66,1387.85
厦门,2008,220.23,238.09,1560.02
厦门,2009,240.56,268.05,1737.0
厦门,2010,289.17,306.95,2060.1
厦门,2011,370.77,389.07,2539.31
厦门,2012,422.91,460.98,2817.1
厦门,2013,490.6,516.74,3018.16
厦门,2014,543.8,548.25,3273.58
厦门,2015,606.1,651.17,3466.03
厦门,2016,647.94,758.64,3784.27
厦门,2017,696.87,797.1,4351.7
厦门,2018,754.54,892.5,4791.41
厦门,2019,768.38,912.98,5995.0
厦门,2020,783.94,976.91,6384.0
厦门,2021,880.96,1060.0,7033.89
厦门,2022,883.81,1088.74,7802.66
厦门,2023,932.14,1084.65,8066.0
厦门,2024,933.35,1059.2,8589.01
厦门,2025,,,
合肥,2006,79.4,102.89,1073.76
合肥,2007,169.32,167.08,1334.61
合肥,2008,222.08,222.25,1664.84
合肥,2009,180.9,245.86,2102.0
合肥,2010,259.43,317.72,2701.6
合肥,2011,338.51,474.89,3636.6
合肥,2012,389.5,572.1,4164.3
合肥,2013,438.62,630.89,4672.91
合肥,2014,500.34,698.79,5157.97
合肥,2015,571.54,772.66,5660.27
合肥,2016,614.85,859.85,6274.38
合肥,2017,655.9,965.34,7213.45
合肥,2018,712.49,1004.91,7822.91
合肥,2019,745.99,1122.67,9409.0
合肥,2020,762.9,1164.35,10046.0
合肥,2021,844.22,1223.72,11412.8
合肥,2022,909.25,1380.18,12013.1
合肥,2023,929.63,1411.34,12674.0
合肥,2024,955.01,1581.06,13507.69
合肥,2025,,,
呼和浩特,2006,45.52,75.5,900.08
呼和浩特,2007,57.96,100.51,1101.13
呼和浩特,2008,82.25,133.18,1316.37
呼和浩特,2009,106.79,165.16,1644.0
呼和浩特,2010,126.76,177.28,1865.7
呼和浩特,2011,151.43,255.67,2177.27
呼和浩特,2012,178.64,275.32,2475.6
呼和浩特,2013,182.02,294.84,2710.39
呼和浩特,2014,211.54,310.91,2894.05
呼和浩特,2015,247.4,360.65,3090.52
呼和浩特,2016,269.65,419.97,3173.59
呼和浩特,2017,201.5,403.04,2743.72
呼和浩特,2018,204.72,356.74,2903.5
呼和浩特,2019,203.12,417.92,2791.0
呼和浩特,2020,217.1,438.57,2801.0
呼和浩特,2021,228.92,420.75,3121.43
呼和浩特,2022,230.87,420.98,3329.1
呼和浩特,2023,238.06,592.97,3802.0
呼和浩特,2024,255.12,581.61,4107.08
呼和浩特,2025,,,
哈尔滨,2006,118.29,194.68,2094.08
哈尔滨,2007,132.05,232.38,2436.8
哈尔滨,2008,164.01,301.27,2868.19
哈尔滨,2009,193.36,348.41,3175.0
哈尔滨,2010,238.14,452.97,3664.9
哈尔滨,2011,300.32,557.14,4242.19
哈尔滨,2012,354.72,643.58,4550.2
哈尔滨,2013,402.28,709.78,5017.05
哈尔滨,2014,423.52,740.08,5340.07
哈尔滨,2015,407.73,824.84,5751.21
哈尔滨,2016,376.24,876.29,6101.61
哈尔滨,2017,368.1,958.47,6355.05
哈尔滨,2018,384.37,962.17,6300.48
哈尔滨,2019,370.91,1101.14,5249.0
哈尔滨,2020,339.57,1162.25,5184.0
哈尔滨,2021,365.81,992.08,5351.66
哈尔滨,2022,,,5490.1
哈尔滨,2023,313.07,1080.7,5576.0
哈尔滨,2024,337.84,1257.56,6016.33
哈尔滨,2025,,,
大连,2006,196.14,266.52,2569.67
大连,2007,267.98,344.57,3130.68
大连,2008,339.07,410.0,3858.25
大连,2009,400.23,471.16,4350.0
大连,2010,500.83,611.47,5158.2
大连,2011,651.13,734.94,6150.63
大连,2012,750.11,890.96,7002.8
大连,2013,850.16,1083.54,7650.79
大连,2014,780.86,989.46,7655.58
大连,2015,579.91,910.69,7731.64
大连,2016,611.9,870.28,6810.2
大连,2017,657.64,919.84,7363.92
大连,2018,703.99,1001.49,7668.48
大连,2019,692.84,1016.28,7002.0
大连,2020,702.68,1001.98,7030.0
大连,2021,737.6,980.05,7825.95
大连,2022,669.77,991.08,8430.95
大连,2023,750.24,1013.5,8753.0
大连,2024,774.77,1085.14,9516.87
大连,2025,,,
天津,2006,417.05,543.12,3592.5
天津,2007,540.44,674.33,4229.8
天津,2008,675.62,867.72,5278.3
天津,2009,821.99,1124.28,5828.6
天津,2010,1068.81,1376.84,6991.6
天津,2011,1455.13,1796.33,8240.8
天津,2012,1760.02,2143.21,9193.0
天津,2013,2079.07,2549.21,10075.2
天津,2014,2390.35,2884.7,10749.2
天津,2015,2667.11,3232.35,10889.2
天津,2016,2723.5,3699.43,11487.0
天津,2017,2310.36,3282.54,12468.2
天津,2018,2106.24,3103.16,13411.1
天津,2019,2410.41,3555.71,14097.2
天津,2020,1923.11,3151.35,14230.8
天津,2021,2141.06,3152.55,16093.2
天津,2022,1846.69,2729.83,16588.5
天津,2023,2027.51,3280.42,17211.8
天津,2024,2134.2,3627.18,17931.3
天津,2025,,,
太原,2006,75.33,95.42,1013.65
太原,2007,88.42,155.8,1254.94
太原,2008,116.92,152.86,1468.09
太原,2009,117.53,159.91,1545.0
太原,2010,138.48,189.64,1778.1
太原,2011,174.72,239.31,2080.12
太原,2012,215.67,277.44,2311.4
太原,2013,247.33,319.11,2412.87
太原,2014,258.85,322.69,2531.09
太原,2015,274.24,419.99,2735.34
太原,2016,282.69,424.07,2955.6
