year,gap_to_gdp,re_invest_dependence
2006,0.024700226056776426,0.13400046590501669
2007,0.027570117029332167,0.14283622763825363
2008,0.03067513384286031,0.14388867213677897
2009,0.038987058840939226,0.14750940583959674
2010,0.034296026372383305,0.16537861231626091
2011,0.04033365776167012,0.1732198672171659
2012,0.04239105785060841,0.18704794712719583
2013,0.042354772837926304,0.19887208461638728
2014,0.04171051947457226,0.2015838846776244
2015,0.05183945948960708,0.1960518819646174
2016,0.05840444531168728,0.19612192599982387
2017,0.058189556454035785,0.1879330603652654
2018,0.0593682244698389,0.1821491335185277
2019,0.0664976579615266,0.17782982948431467
2020,0.06598585684187898,0.178814412422624
2021,0.04891201413527711,0.16217134622158008
2022,0.05837419374043583,0.1298670530010528
2023,0.06014826433549959,0.10840037015339019
2024,0.056641800076183454,0.0930564705869743
